web-scraper-order,web-scraper-start-url,店铺名称,详情页,详情页-href,店铺评分,人均消费,点评数,店铺地址,店铺电话,营业时间,配套服务,店铺菜系,点评标签,推荐菜1,推荐菜2,推荐菜3
"1590852747-954","https://gz.meituan.com/meishi/pn1/","焱遇烧烤（金沙洲店）","焱遇烧烤（金沙洲店）3分2条评论白云区横沙大街214号1号铺人均￥60","https://www.meituan.com/meishi/1399342454/","3分","60","2","地址：白云区横沙大街214号1号铺","13560085375/13926422266","营业时间：周一至周日 17:00-03:00","提供wifi","广州烧烤烤串","null","烤羔羊肉串6串","烤亲亲五花肉","烤羔羊排串"
"1590845909-231","https://gz.meituan.com/meishi/pn52/","樱花回转寿司","樱花回转寿司3.8分756条评论花都区新华秀全大道52号之8（近花城路）人均￥50","https://www.meituan.com/meishi/1516236/","3.8分","50","756","地址：花都区新华秀全大道52号之8（近花城路）","020-86816732","营业时间：周一至周日 10:00-14:00 17:00-22:00","提供wifi停车位","广州日本菜","味道赞(100)回头客(33)菜品精致(31)上菜快(24)肉类好(7)不用排队(4)停车方便(3)到店自提(1)分量少(31)主食差(5)","三文鱼刺身","鳗汁鲑鱼寿司","北极贝寿司"
"1590848326-491","https://gz.meituan.com/meishi/pn35/","客语-客家菜（增城万达店）","客语-客家菜（增城万达店）3.8分2469条评论增城市增城大道69号万达广场3楼人均￥49","https://www.meituan.com/meishi/6071289/","3.8分","49","2469","地址：增城市增城大道69号万达广场3楼","020-26220828","营业时间：周一至周日 11:00-14:30 17:00-21:00","提供wifi","广州台湾/客家菜","上菜快(227)回头客(109)不用排队(27)海鲜棒(8)朋友聚餐(7)家庭聚餐(6)闺蜜聚会(4)到店自提(3)店内消毒(1)分量少(380)","客家酿豆腐","古法手撕盐焗鸡","猪肉汤"
"1590850238-692","https://gz.meituan.com/meishi/pn21/","牛皇叔自助烧烤火锅专家（光明西店）","牛皇叔自助烧烤火锅专家（光明西店）3.7分2931条评论增城市光明西路11号（泰富广场侧门路囗）人均￥60","https://www.meituan.com/meishi/6909217/","3.7分","60","2931","地址：增城市光明西路11号（泰富广场侧门路囗）","020-82738777","营业时间：周一至周日 08:00-23:00","提供wifi","广州火锅","味道赞(222)回头客(89)不用排队(32)海鲜棒(21)交通便利(4)朋友聚餐(10)上菜慢(53)肉类差(49)饮品差(36)分量少(30)","肥牛","火锅汤","鸡翅膀螃蟹"
"1590849774-643","https://gz.meituan.com/meishi/pn24/","速度披萨·首创魔鬼芝士披萨（环球都会广场店）","速度披萨·首创魔鬼芝士披萨（环球都会广场店）4.4分215条评论天河区花城大道68号地上第一层03、04、11单元人均￥83","https://www.meituan.com/meishi/159274517/","4.4分","83","216","地址：天河区花城大道68号地上第一层03、04、11单元","020-89810819","营业时间：周一至周日 11:00-22:00","提供wifi","广州西餐","味道赞(46)菜品不错(35)上菜快(28)点心好(11)回头客(3)肉类好(3)纯原创(10)下午茶(3)到店自提(2)店内消毒(1)","面包奶油意面","原创魔鬼芝士披萨","黑芝麻沙拉"
"1590843803-42","https://gz.meituan.com/meishi/pn65/","新百花正宗化州糖水","新百花正宗化州糖水5分383条评论天河区棠下街道上社乐泰大街54号新百花正宗化州糖水（新红苑对面）人均￥8","https://www.meituan.com/meishi/51168056/","5分","8","383","地址：天河区棠下街道上社乐泰大街54号新百花正宗化州糖水（新红苑对面）","17620823788","营业时间：周一至周日 13:00-02:30","提供wifi","广州面包甜点","味道赞(32)价格实惠(26)性价比高(26)服务热情(22)环境很好(20)回头客(18)分量足(9)菜品精致(8)饮品赞(7)到店自提(1)","香芋红豆椰奶","椰奶西米芒果芋圆捞","椰奶芋圆烧仙草"
"1590847115-362","https://gz.meituan.com/meishi/pn43/","楊國福麻辣烫（新塘广场店）","楊國福麻辣烫（新塘广场店）3.8分1739条评论增城市解放北路23号人均￥16","https://www.meituan.com/meishi/69606953/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590850792-750","https://gz.meituan.com/meishi/pn16/","NICE蛋糕（动物奶油蛋糕专门店）","NICE蛋糕（动物奶油蛋糕专门店）4.8分1511条评论从化市街口街道府前路146号人均￥35","https://www.meituan.com/meishi/50417655/","4.8分","35","1511","地址：从化市街口街道府前路146号","18819444858","营业时间：周一至周日 09:00-22:30","null","从化生日蛋糕","味道赞(318)点心好(204)回头客(100)分量足(29)饮品赞(20)不用排队(18)上菜快(5)交通便利(3)现做现卖(6)到店自提(4)","小车蛋糕","火烈鸟蛋糕","巧克力岩浆"
"1590843588-19","https://gz.meituan.com/meishi/pn66/","The Happy Monk（建五店）","The Happy Monk（建五店）4.9分5385条评论越秀区建设五马路29号107-110铺（宜安广场后侧）人均￥118","https://www.meituan.com/meishi/646137/","4.9分","118","5385","地址：越秀区建设五马路29号107-110铺（宜安广场后侧）","020-83765597","营业时间：周五,周六 10:30-03:00  周一至周四,周日 10:30-02:00","提供wifi停车位","广州西餐","环境很好(24)味道赞(22)回头客(21)菜品不错(20)服务热情(20)干净整洁(20)性价比高(17)价格实惠(12)上菜快(11)饮品赞(8)","英式炸鱼薯条","鸡尾酒","烟肉芝士意粉"
"1590852242-902","https://gz.meituan.com/meishi/pn5/","哆糖蛋糕定制DIY烘焙体验（奥园广场店）","哆糖蛋糕定制DIY烘焙体验（奥园广场店）5分102条评论番禺区桥南街南华路359号奥园广场塔一1418室人均￥126","https://www.meituan.com/meishi/179125593/","5分","126","102","地址：番禺区桥南街南华路359号奥园广场塔一1418室","18319086808/15913110619","营业时间：周一至周日 08:00-22:00","提供wifi","广州生日蛋糕","服务热情(38)味道赞(37)体验很棒(23)点心好(22)性价比高(21)价格实惠(18)干净整洁(15)环境很好(10)菜品精致(3)到店自提(1)","母亲节蛋糕","挖土机蛋糕","表白蛋糕"
"1590850783-749","https://gz.meituan.com/meishi/pn16/","万州烤鱼","万州烤鱼4.5分640条评论增城市教育路24号（农工商学院大门斜对面，中新小学路口）人均￥32","https://www.meituan.com/meishi/41747879/","4.5分","32","640","地址：增城市教育路24号（农工商学院大门斜对面，中新小学路口）","13580516707","营业时间：周一至周日 10:00-21:00","提供wifi停车位","广州香锅烤鱼","服务热情(162)味道赞(109)回头客(52)菜品精致(47)分量足(45)上菜快(32)肉类好(17)不用排队(5)朋友聚餐(3)主食差(5)","重庆烤鱼","土豆片","金针菇"
